location,lat,lon,presmax,presmin,N
hippo1-20090109-2113,51.87,245.98,869.00,187.00,13.00
hippo1-20090109-2156,53.74,247.10,915.00,345.00,14.00
hippo1-20090109-2214,55.99,248.59,967.00,345.00,16.00
hippo1-20090109-2239,57.23,248.57,964.00,330.00,14.00
hippo1-20090109-2256,58.98,248.40,949.00,330.00,11.00
hippo1-20090109-2325,60.55,247.45,947.00,330.00,13.00
hippo1-20090109-2346,62.00,245.91,950.00,330.00,15.00
hippo1-20090109-2406,62.43,244.50,948.00,330.00,12.00
hippo1-20090109-2427,61.82,240.11,939.00,330.00,12.00
hippo1-20090109-2451,61.58,237.46,937.00,330.00,14.00
hippo1-20090109-2512,60.43,232.01,914.00,331.00,13.00
hippo1-20090109-2551,59.95,230.40,916.00,329.00,14.00
hippo1-20090112-1928,65.18,211.93,970.00,330.00,15.00
hippo1-20090112-2006,69.74,211.38,998.00,330.00,15.00
hippo1-20090112-2034,70.73,211.19,1001.00,330.00,13.00
hippo1-20090112-2101,73.38,208.85,978.00,330.00,13.00
hippo1-20090112-2121,74.79,207.26,978.00,330.00,15.00
hippo1-20090112-2143,76.78,204.61,978.00,330.00,14.00
hippo1-20090112-2204,78.12,202.33,975.00,162.00,15.00
hippo1-20090114-2021,55.19,197.27,939.00,187.00,17.00
hippo1-20090114-2129,51.98,198.41,939.00,330.00,14.00
hippo1-20090114-2153,49.96,199.01,933.00,330.00,13.00
hippo1-20090114-2235,46.78,199.67,941.00,331.00,13.00
hippo1-20090114-2255,45.30,199.95,938.00,330.00,11.00
hippo1-20090114-2318,43.30,200.36,946.00,330.00,13.00
hippo1-20090114-2338,41.95,200.63,945.00,331.00,13.00
hippo1-20090114-2400,40.36,200.93,935.00,330.00,11.00
hippo1-20090114-2420,38.99,201.21,937.00,330.00,13.00
hippo1-20090114-2442,37.20,201.58,939.00,330.00,14.00
hippo1-20090114-2501,35.98,201.81,944.00,330.00,13.00
hippo1-20090114-2524,34.22,202.16,957.00,332.00,15.00
hippo1-20090114-2544,32.79,202.45,960.00,329.00,11.00
hippo1-20090114-2608,30.66,202.87,968.00,330.00,13.00
hippo1-20090114-2627,28.74,203.16,968.00,162.00,18.00
hippo1-20090114-2716,21.97,202.61,1013.00,162.00,17.00
hippo1-20090116-2147,14.39,199.29,976.00,187.00,16.00
hippo1-20090116-2215,12.65,198.69,975.00,330.00,14.00
hippo1-20090116-2236,10.90,198.10,977.00,330.00,16.00
hippo1-20090116-2255,9.42,197.61,978.00,330.00,14.00
hippo1-20090116-2318,7.37,196.94,978.00,331.00,14.00
hippo1-20090116-2337,5.54,196.34,978.00,323.00,17.00
hippo1-20090116-2402,3.51,195.68,977.00,324.00,15.00
hippo1-20090116-2422,2.07,195.20,976.00,329.00,16.00
hippo1-20090116-2446,0.02,194.51,978.00,331.00,16.00
hippo1-20090116-2503,-1.16,194.14,977.00,330.00,15.00
hippo1-20090116-2520,-3.35,193.45,978.00,330.00,15.00
hippo1-20090116-2539,-5.02,192.92,974.00,329.00,16.00
hippo1-20090116-2602,-6.98,192.13,978.00,330.00,13.00
hippo1-20090116-2622,-8.77,191.39,975.00,162.00,20.00
hippo1-20090116-2711,-14.12,189.37,1012.00,163.00,20.00
hippo1-20090118-2102,-15.44,188.86,998.00,187.00,18.00
hippo1-20090118-2156,-21.53,186.44,979.00,187.00,18.00
hippo1-20090118-2224,-23.25,185.72,978.00,341.00,16.00
hippo1-20090118-2247,-25.09,184.92,981.00,330.00,16.00
hippo1-20090118-2306,-26.40,184.34,981.00,331.00,14.00
hippo1-20090118-2329,-28.40,183.42,979.00,330.00,16.00
hippo1-20090118-2349,-29.72,182.80,977.00,331.00,15.00
hippo1-20090118-2433,-33.11,181.10,978.00,330.00,13.00
hippo1-20090118-2456,-35.02,180.07,973.00,329.00,11.00
hippo1-20090118-2516,-36.72,179.12,974.00,162.00,20.00
hippo1-20090118-2611,-42.78,174.01,999.00,162.00,19.00
hippo1-20090120-2150,-46.46,169.61,938.00,330.00,15.00
hippo1-20090120-2236,-49.78,169.98,977.00,330.00,15.00
hippo1-20090120-2255,-51.21,171.09,976.00,329.00,15.00
hippo1-20090120-2319,-53.16,173.00,978.00,329.00,14.00
hippo1-20090120-2339,-54.46,174.39,978.00,330.00,14.00
hippo1-20090120-2401,-56.42,176.02,977.00,329.00,14.00
hippo1-20090120-2420,-57.72,177.02,977.00,330.00,15.00
hippo1-20090120-2443,-59.75,178.77,977.00,330.00,14.00
hippo1-20090120-2501,-61.18,179.82,977.00,331.00,14.00
hippo1-20090120-2522,-62.97,181.20,966.00,331.00,15.00
hippo1-20090120-2541,-64.44,182.48,966.00,330.00,12.00
hippo1-20090120-2602,-66.43,184.39,955.00,330.00,12.00
hippo1-20090120-2620,-65.75,183.72,953.00,162.00,18.00
hippo1-20090120-2918,-44.39,172.80,1013.00,133.00,14.00
hippo1-20090123-2148,-39.42,179.62,989.00,187.00,17.00
hippo1-20090123-2220,-38.09,181.61,986.00,329.00,16.00
hippo1-20090123-2242,-36.63,183.65,989.00,330.00,16.00
hippo1-20090123-2301,-35.61,185.01,988.00,331.00,15.00
hippo1-20090123-2321,-34.14,186.89,984.00,330.00,16.00
hippo1-20090123-2341,-33.01,188.26,984.00,329.00,11.00
hippo1-20090123-2403,-31.50,190.00,984.00,329.00,14.00
hippo1-20090123-2422,-30.59,191.36,982.00,329.00,13.00
hippo1-20090123-2446,-29.10,193.49,982.00,333.00,16.00
hippo1-20090123-2506,-28.01,194.97,976.00,330.00,13.00
hippo1-20090123-2530,-26.62,197.35,978.00,333.00,12.00
hippo1-20090123-2549,-25.81,198.69,971.00,329.00,16.00
hippo1-20090123-2611,-24.68,200.49,978.00,332.00,14.00
hippo1-20090123-2631,-23.51,202.19,976.00,218.00,17.00
hippo1-20090123-2740,-18.15,209.61,1008.00,216.00,15.00
hippo1-20090126-0352,-21.41,221.39,980.00,179.00,16.00
hippo1-20090126-0420,-21.99,223.14,976.00,330.00,15.00
hippo1-20090126-0444,-22.56,225.40,981.00,330.00,16.00
hippo1-20090126-0504,-22.92,226.74,981.00,330.00,11.00
hippo1-20090126-0527,-23.54,229.15,980.00,331.00,15.00
hippo1-20090126-0554,-23.96,230.90,980.00,330.00,13.00
hippo1-20090126-0617,-24.48,233.28,981.00,330.00,13.00
hippo1-20090126-0638,-24.82,234.91,980.00,330.00,13.00
hippo1-20090126-0701,-25.36,237.77,981.00,330.00,14.00
hippo1-20090126-0720,-25.82,240.41,979.00,178.00,18.00
hippo1-20090128-1837,-18.19,257.64,981.00,178.00,17.00
hippo1-20090128-1905,-16.66,258.79,979.00,330.00,11.00
hippo1-20090128-1928,-14.90,260.04,980.00,330.00,12.00
hippo1-20090128-1949,-13.42,260.69,976.00,330.00,15.00
hippo1-20090128-2032,-10.07,262.14,976.00,330.00,13.00
hippo1-20090128-2055,-8.11,262.93,981.00,330.00,15.00
hippo1-20090128-2114,-6.79,263.46,981.00,329.00,11.00
hippo1-20090128-2137,-4.73,264.28,980.00,330.00,13.00
hippo1-20090128-2157,-3.30,264.85,975.00,329.00,15.00
hippo1-20090128-2220,-1.25,265.67,977.00,330.00,14.00
hippo1-20090128-2239,0.23,266.28,971.00,330.00,14.00
hippo1-20090128-2301,2.16,267.31,975.00,329.00,14.00
hippo1-20090128-2326,3.49,268.57,975.00,329.00,16.00
hippo1-20090130-1601,11.13,275.97,896.00,188.00,15.00
hippo1-20090130-1744,24.87,272.40,985.00,187.00,17.00
hippo1-20090130-1839,28.52,270.66,979.00,162.00,20.00
hippo1-20090130-2001,35.42,264.04,969.00,162.00,18.00
hippo1-20090130-2047,37.69,262.45,966.00,187.00,19.00
hippo2-20091031-1751,51.59,246.62,867.00,187.00,14.00
hippo2-20091031-1848,53.59,246.04,906.00,338.00,13.00
hippo2-20091031-2016,59.85,232.42,920.00,329.00,13.00
hippo2-20091031-2058,60.49,226.80,856.00,161.00,15.00
hippo2-20091031-2201,61.03,212.13,866.00,162.00,16.00
hippo2-20091102-1854,63.67,211.44,901.00,393.00,11.00
hippo2-20091102-1926,65.86,211.31,926.00,281.00,15.00
hippo2-20091102-2005,70.09,205.40,959.00,250.00,15.00
hippo2-20091102-2044,71.61,202.63,1023.00,329.00,14.00
hippo2-20091102-2109,73.51,198.81,1009.00,330.00,14.00
hippo2-20091102-2131,74.95,195.15,1009.00,330.00,13.00
hippo2-20091102-2156,77.12,195.00,1005.00,330.00,16.00
hippo2-20091102-2218,78.74,195.00,1007.00,330.00,10.00
hippo2-20091102-2307,77.88,210.86,1007.00,330.00,15.00
hippo2-20091102-2331,74.22,213.51,1007.00,147.00,17.00
hippo2-20091102-2517,62.87,210.06,872.00,147.00,14.00
hippo2-20091104-2156,56.20,199.12,878.00,187.00,14.00
hippo2-20091104-2230,55.47,197.07,957.00,353.00,14.00
hippo2-20091104-2248,53.67,198.06,862.00,329.00,10.00
hippo2-20091104-2310,51.86,199.06,942.00,329.00,13.00
hippo2-20091104-2332,49.61,200.26,954.00,329.00,10.00
hippo2-20091104-2354,47.90,201.31,955.00,329.00,14.00
hippo2-20091104-2413,45.87,202.52,948.00,329.00,13.00
hippo2-20091104-2455,41.85,203.65,950.00,329.00,14.00
hippo2-20091104-2517,40.02,204.00,975.00,350.00,9.00
hippo2-20091104-2537,37.72,204.00,981.00,329.00,14.00
hippo2-20091104-2604,35.70,204.00,952.00,339.00,13.00
hippo2-20091104-2621,33.40,204.00,986.00,329.00,15.00
hippo2-20091104-2648,31.42,204.00,977.00,329.00,13.00
hippo2-20091104-2708,29.25,203.82,961.00,329.00,12.00
hippo2-20091104-2730,26.80,203.26,984.00,149.00,19.00
hippo2-20091104-2821,20.95,203.93,951.00,147.00,14.00
hippo2-20091107-2040,15.36,201.08,937.00,187.00,12.00
hippo2-20091107-2107,13.71,199.86,981.00,329.00,15.00
hippo2-20091107-2129,11.72,198.79,979.00,330.00,15.00
hippo2-20091107-2151,10.01,197.80,976.00,330.00,9.00
hippo2-20091107-2216,7.98,197.14,950.00,338.00,13.00
hippo2-20091107-2233,6.49,196.63,976.00,329.00,12.00
hippo2-20091107-2255,4.40,195.97,974.00,330.00,15.00
hippo2-20091107-2317,2.80,195.45,973.00,330.00,13.00
hippo2-20091107-2337,0.45,194.69,973.00,330.00,14.00
hippo2-20091107-2406,-1.52,194.06,973.00,329.00,12.00
hippo2-20091107-2428,-3.64,193.37,957.00,330.00,14.00
hippo2-20091107-2450,-5.47,192.74,972.00,329.00,11.00
hippo2-20091107-2537,-9.62,191.04,973.00,330.00,13.00
hippo2-20091107-2606,-12.22,190.62,973.00,330.00,13.00
hippo2-20091107-2631,-14.37,191.69,972.00,147.00,19.00
hippo2-20091107-2744,-20.44,198.87,953.00,148.00,14.00
hippo2-20091109-2051,-25.20,196.53,976.00,187.00,15.00
hippo2-20091109-2130,-26.96,194.81,972.00,329.00,14.00
hippo2-20091109-2150,-28.41,193.34,976.00,329.00,15.00
hippo2-20091109-2212,-29.62,192.07,977.00,329.00,13.00
hippo2-20091109-2234,-30.99,190.57,976.00,329.00,10.00
hippo2-20091109-2256,-32.25,189.15,975.00,329.00,15.00
hippo2-20091109-2320,-33.81,187.29,972.00,329.00,15.00
hippo2-20091109-2345,-35.04,185.76,972.00,329.00,13.00
hippo2-20091109-2405,-36.46,183.89,925.00,329.00,10.00
hippo2-20091109-2427,-38.09,181.61,974.00,163.00,19.00
hippo2-20091109-2543,-43.80,171.99,916.00,162.00,16.00
hippo2-20091111-2145,-48.31,175.78,961.00,178.00,17.00
hippo2-20091111-2217,-50.02,177.39,961.00,330.00,11.00
hippo2-20091111-2236,-51.66,179.06,903.00,330.00,10.00
hippo2-20091111-2258,-53.05,180.61,954.00,330.00,13.00
hippo2-20091111-2320,-54.77,182.70,950.00,330.00,14.00
hippo2-20091111-2343,-56.35,183.27,950.00,330.00,13.00
hippo2-20091111-2402,-58.26,183.69,879.00,330.00,10.00
hippo2-20091111-2422,-60.07,184.13,950.00,330.00,14.00
hippo2-20091111-2446,-62.27,184.61,881.00,330.00,10.00
hippo2-20091111-2545,-65.00,184.01,961.00,162.00,16.00
hippo2-20091111-2830,-44.97,172.27,878.00,162.00,15.00
hippo2-20091114-2143,-41.57,167.09,926.00,188.00,15.00
hippo2-20091114-2215,-40.68,164.89,968.00,337.00,13.00
hippo2-20091114-2234,-39.79,162.84,972.00,330.00,13.00
hippo2-20091114-2259,-38.71,160.54,973.00,330.00,15.00
hippo2-20091114-2413,-34.33,151.77,996.00,330.00,15.00
hippo2-20091114-2442,-33.58,151.48,999.00,190.00,18.00
hippo2-20091114-2541,-25.88,153.99,977.00,188.00,16.00
hippo2-20091114-2610,-23.96,154.58,980.00,342.00,14.00
hippo2-20091114-2630,-21.89,155.42,977.00,330.00,10.00
hippo2-20091114-2654,-20.22,156.07,977.00,330.00,14.00
hippo2-20091114-2714,-18.09,156.89,974.00,330.00,14.00
hippo2-20091114-2739,-16.19,157.61,975.00,221.00,18.00
hippo2-20091116-2545,4.68,177.65,970.00,179.00,19.00
hippo2-20091116-2619,6.09,179.42,970.00,329.00,11.00
hippo2-20091116-2641,7.55,181.27,971.00,329.00,14.00
hippo2-20091116-2706,8.59,182.60,938.00,329.00,11.00
hippo2-20091116-2726,9.91,184.29,972.00,329.00,15.00
hippo2-20091116-2748,10.86,185.54,972.00,329.00,11.00
hippo2-20091116-2807,12.18,187.29,926.00,329.00,11.00
hippo2-20091116-2829,13.18,188.65,973.00,329.00,14.00
hippo2-20091116-2851,14.53,190.50,976.00,329.00,15.00
hippo2-20091116-2913,15.51,191.87,976.00,329.00,13.00
hippo2-20091116-2936,16.83,193.76,978.00,329.00,12.00
hippo2-20091116-2958,18.16,195.71,978.00,179.00,17.00
hippo2-20091116-3032,19.65,201.76,911.00,179.00,15.00
hippo2-20091119-2043,25.21,202.61,987.00,179.00,18.00
hippo2-20091119-2118,27.39,202.34,986.00,335.00,9.00
hippo2-20091119-2137,29.59,202.05,990.00,330.00,15.00
hippo2-20091119-2202,31.37,202.52,989.00,330.00,14.00
hippo2-20091119-2224,33.39,203.33,990.00,330.00,16.00
hippo2-20091119-2246,34.96,203.98,990.00,330.00,14.00
hippo2-20091119-2306,36.91,204.73,958.00,330.00,12.00
hippo2-20091119-2328,38.46,205.35,987.00,330.00,15.00
hippo2-20091119-2350,40.39,206.15,977.00,330.00,15.00
hippo2-20091119-2412,41.95,206.74,984.00,330.00,13.00
hippo2-20091119-2434,43.87,207.52,977.00,330.00,10.00
hippo2-20091119-2456,45.41,208.08,978.00,330.00,15.00
hippo2-20091119-2516,47.24,208.43,975.00,330.00,12.00
hippo2-20091119-2540,49.48,208.88,970.00,162.00,18.00
hippo2-20091119-2706,59.30,209.62,840.00,162.00,13.00
hippo2-20091121-1925,64.20,211.59,979.00,361.00,14.00
hippo2-20091121-1950,66.07,210.97,855.00,228.00,10.00
hippo2-20091121-2017,70.50,204.66,964.00,228.00,16.00
hippo2-20091121-2111,73.45,203.10,985.00,330.00,13.00
hippo2-20091121-2135,75.33,203.00,990.00,330.00,11.00
hippo2-20091121-2157,76.83,203.00,990.00,330.00,16.00
hippo2-20091121-2219,78.74,203.00,992.00,330.00,14.00
hippo2-20091121-2241,80.24,203.00,992.00,377.00,14.00
hippo2-20091121-2301,81.99,203.00,959.00,377.00,11.00
hippo2-20091121-2323,82.25,203.97,987.00,161.00,17.00
hippo2-20091121-2558,62.62,209.48,894.00,155.00,12.00
hippo3-20100324-2028,52.29,247.63,876.00,188.00,13.00
hippo3-20100324-2104,55.20,244.01,934.00,276.00,14.00
hippo3-20100324-2220,59.75,232.99,901.00,275.00,12.00
hippo3-20100324-2303,60.37,228.08,926.00,196.00,17.00
hippo3-20100324-2407,61.04,212.78,934.00,162.00,18.00
hippo3-20100326-1842,65.72,212.46,982.00,330.00,14.00
hippo3-20100326-1910,69.30,211.79,960.00,330.00,11.00
hippo3-20100326-1949,70.68,211.29,993.00,330.00,11.00
hippo3-20100326-2010,72.84,211.16,988.00,330.00,15.00
hippo3-20100326-2038,74.47,211.04,988.00,330.00,14.00
hippo3-20100326-2102,76.66,211.00,996.00,330.00,13.00
hippo3-20100326-2126,78.15,211.00,996.00,330.00,16.00
hippo3-20100326-2151,80.25,211.00,1007.00,330.00,15.00
hippo3-20100326-2215,83.84,211.00,1008.00,162.00,14.00
hippo3-20100326-2514,63.29,209.71,956.00,162.00,13.00
hippo3-20100329-1855,55.57,198.25,961.00,193.00,15.00
hippo3-20100329-1929,55.17,197.19,977.00,329.00,15.00
hippo3-20100329-2008,51.92,199.03,957.00,334.00,13.00
hippo3-20100329-2029,49.98,200.00,964.00,329.00,11.00
hippo3-20100329-2054,48.20,200.00,964.00,329.00,15.00
hippo3-20100329-2114,46.03,200.00,975.00,329.00,11.00
hippo3-20100329-2137,44.21,200.17,976.00,329.00,14.00
hippo3-20100329-2158,41.98,200.62,926.00,329.00,14.00
hippo3-20100329-2218,40.28,200.95,986.00,329.00,12.00
hippo3-20100329-2241,38.11,201.39,929.00,329.00,12.00
hippo3-20100329-2302,36.46,201.72,988.00,329.00,14.00
hippo3-20100329-2324,34.38,202.00,970.00,329.00,15.00
hippo3-20100329-2345,32.63,202.00,993.00,329.00,14.00
hippo3-20100329-2408,30.36,202.00,978.00,329.00,12.00
hippo3-20100329-2428,28.45,202.20,992.00,197.00,17.00
hippo3-20100329-2539,19.89,204.91,903.00,179.00,13.00
hippo3-20100331-2037,15.64,201.26,982.00,187.00,14.00
hippo3-20100331-2109,13.62,199.98,982.00,330.00,13.00
hippo3-20100331-2129,11.74,198.81,972.00,330.00,11.00
hippo3-20100331-2152,8.34,197.25,979.00,179.00,18.00
hippo3-20100331-2249,3.51,195.68,975.00,179.00,18.00
hippo3-20100331-2321,1.39,194.99,975.00,322.00,12.00
hippo3-20100331-2342,-0.64,194.34,975.00,322.00,15.00
hippo3-20100331-2404,-3.81,193.32,975.00,173.00,15.00
hippo3-20100331-2536,-13.21,189.71,921.00,175.00,15.00
hippo3-20100402-2144,-20.33,190.03,978.00,178.00,17.00
hippo3-20100402-2215,-22.55,190.00,978.00,330.00,14.00
hippo3-20100402-2236,-24.71,190.00,981.00,330.00,12.00
hippo3-20100402-2259,-26.42,190.00,947.00,330.00,14.00
hippo3-20100402-2317,-28.54,190.00,984.00,330.00,14.00
hippo3-20100402-2340,-30.44,190.00,985.00,330.00,14.00
hippo3-20100402-2403,-32.22,189.17,849.00,330.00,11.00
hippo3-20100402-2421,-33.42,187.76,993.00,330.00,15.00
hippo3-20100402-2446,-34.88,185.96,965.00,330.00,11.00
hippo3-20100402-2507,-36.41,183.96,991.00,176.00,18.00
hippo3-20100402-2622,-42.59,174.26,904.00,162.00,13.00
hippo3-20100405-2309,-51.53,170.00,949.00,194.00,16.00
hippo3-20100405-2334,-53.12,170.00,962.00,347.00,10.00
hippo3-20100405-2352,-55.00,170.00,907.00,329.00,12.00
hippo3-20100405-2415,-56.55,170.00,950.00,329.00,13.00
